station,n_records,base,M2,M2_phase,S2,S2_phase,K1,K1_phase,O1,O1_phase,sigma
Biên Hòa,324360,0.3316,0.6941,1.3958,0.1994,-2.7789,0.4557,-0.1777,0.2833,-1.8352,0.1559
Nhà Bè,324360,0.0463,0.7742,0.2423,0.2615,2.1627,0.5549,-0.7366,0.3867,-2.3118,0.1579
Phú An,324360,0.1181,0.7057,0.7172,0.224,2.6789,0.5163,-0.4836,0.354,-2.1079,0.1695
TDM,324360,0.2261,0.5948,1.4524,0.1734,-2.8489,0.4406,-0.0911,0.2958,-1.7857,0.145
Vàm Kênh,324360,-0.0628,0.7533,-0.0745,0.2842,1.7781,0.5529,-0.8704,0.3942,-2.3775,0.1291
Vũng Tàu,324360,-0.2231,0.7554,-0.4167,0.2966,1.4041,0.5913,-1.0395,0.4403,-2.5339,0.1118
